"","item","qudbias","prior","none.accept","all.accept","sbna.accept","none.prior","all.prior","sbna.prior","none.qud","all.qud","many.qud"
"1",1,"AllBias","All",11.4421079601709,10.4059111267371,87.2285609127714,16.6898508598913,83.2539365828687,69.073027051512,14.4896528047372,86.0522681565392,43.8466950830363
"2",1,"HowManyBias","All",27.0377165391603,0.570966513143469,90.9861557290391,8.91591456187975,81.0839603867508,58.2764473751887,3.10201145496971,86.6699220893125,75.6621024523198
"3",1,"NoneBias","All",44.1686464172545,2.86198351546698,83.8871175634178,17.2197884862162,75.6742099921474,53.4423920027274,80,36.0110550165255,55.3919284547937
"4",10,"AllBias","Some",22.3712983592121,11.7597785160691,75.4776268394873,14.864060091148,41.1196940565208,100,33.1212617427295,58.4870587327151,49.7897982348717
"5",10,"HowManyBias","Some",52.8094413928621,3.99700282372005,61.2867808519982,17.9071925637707,30.6897868507077,87.9283088235294,37.7858208847201,34.1771447588606,75.9786696285525
"6",10,"NoneBias","Some",47.945400881593,1.05252060807359,68.6319807171012,14.0437191423759,32.4682232420565,92.8571428571429,71.2490622655664,25.6443660045182,53.8052363449054
"7",11,"AllBias","Some",48.7228225214503,1.07357273146541,75.636973706961,7.96806561594986,24.3427673793797,98.0292312936765,27.0827911961964,51.3861240947001,80.3422404191534
"8",11,"HowManyBias","Some",32.8820805425415,6.82226471145131,86.9763232946174,11.8773656909843,45.2451330570902,97.488741189667,37.972461609596,25.9963658729419,93.1983198319832
"9",11,"NoneBias","Some",29.42140903015,11.6498762304606,72.6998996826065,28.324436166052,21.196039118509,93.8357163587133,77.7560168965647,15,63.1170478427982
"10",12,"AllBias","Some",18.9299051891776,1.74798285897204,98.6490574125667,26.9656070239225,24.2519401581453,92.8571428571429,38.4528904801092,63.755791618185,52.795365974652
"11",12,"HowManyBias","Some",24.600673637596,9.88845499831244,78.319587628866,22.5792945146078,36.1341692004641,85.0090917791176,38.2196550497405,14.0047202265947,94.9646415943427
"12",12,"NoneBias","Some",35.9984848140011,0.265081141625629,80.4789558907679,39.289230227202,18.3932205299081,88.9777932118362,87.4935646039568,7.76831683819674,56.8905633421681
"13",13,"AllBias","Some",23.4128259589039,11.3927615661539,76.7644983504014,42.8654176848584,34.851885956158,89.1668043720108,35.3288015551801,55.6621536336395,64.0531000754312
"14",13,"HowManyBias","Some",45.8098679596155,0.263757693649086,88.3278561283659,58.9826092938709,24.6358813577366,66.9360269360269,31.574481465561,31.9853642661314,93.3452609593056
"15",13,"NoneBias","Some",48.2726900843245,0.455714879394675,79.1904001041664,47.101340979844,27.2952788067005,68.9636876240259,100,0,42.8552297831208
"16",14,"AllBias","Some",57.3519996412754,1.95099000578178,60.8050833024925,63.0859375,27.0887915292854,68.6306776728598,54.9673338894086,56.8161771912058,41.3033431981503
"17",14,"HowManyBias","Some",55.9107484445307,5.99952179322518,50.0486616707376,52.2049524120767,16.9025929232233,88.0060370543628,57.7331144579838,4.28467741935484,77.6426809855369
"18",14,"NoneBias","Some",48.2452741513843,9.56785633506481,62.58558528986,68.9128617639683,3.42728369396562,82.2380117410822,89.9607142857143,6.63235082626585,38.8846225054675
"19",15,"AllBias","Some",50.9517239295499,4.47482770160397,72.6655504929117,53.7969907489702,16.4355268151953,91.8444073797661,46.0752021766865,70,39.2934265786978
"20",15,"HowManyBias","Some",34.6976761255128,9.66575741376973,73.3032913641084,46.4854032488661,25.3820716944823,85.9638292222573,81.5131908611517,11.2809242678272,67.1635689878282
"21",15,"NoneBias","Some",57.8141208630454,0.146290081441403,67.8166842239873,45.661540377308,10.3387835194376,96.906021405424,83.7106918238994,14.2423999830813,59.5141597019982
"22",16,"AllBias","Some",11.3684910198212,0.845979748154366,96.1496212121212,32.5684036890461,32.682898910989,93.0800636634143,41.3100394156343,62.4740142316229,56.0802674336177
"23",16,"HowManyBias","Some",19.0956532757412,2.32758528234278,100,17.55212969215,19.114561125462,100,56.235573802188,26.6666666666667,76.6544208015548
"24",16,"NoneBias","Some",28.6401743774328,1.42332048271616,88.4298748202952,14.2318699612875,33.3189104046936,89.8397733037136,68.7986953231226,17.2136082474227,70.1502314635404
"25",17,"AllBias","None",71.6671064728413,0.13211209063481,54.6281959436616,45.4885030539697,16.6660407209952,88.238513783496,69.9134218652509,29.9845121343634,51.5949925200199
"26",17,"HowManyBias","None",64.1073717279129,1.39392115603269,66.9587824296579,61.3392925746444,14.577301934527,70.3062628689287,71.7648899162484,17.8861649237099,73.594588833954
"27",17,"NoneBias","None",37.0744774820568,9.30780258038091,66.8790672402667,66.6688722506243,7.68677222570216,81.2122614554483,84.165456691638,15,59.6163793241466
"28",18,"AllBias","None",34.5487289204468,4.1496392048217,84.8193782689729,37.0418748272573,65.9897547569869,44.4292148008968,36.9181899140589,98.3519804666305,21.3650768142584
"29",18,"HowManyBias","None",35.0535595267543,10.0509453234914,78.5749805721631,52.8977595556684,33.2882420008817,65.850653712696,75.9253894147894,12.2835354570927,87.1995164939413
"30",18,"NoneBias","None",45.9542091659686,1.75809907818088,85.1081680017804,47.1487071353112,18.3024578592253,73.1570887651722,76.9205192615818,8.63072041806644,57.8346867574377
"31",19,"AllBias","None",15.7742521919347,15.6155537611331,84.0571648929165,48.6141197171214,26.2327359909951,75.1295706335388,54.0876199073098,57.3689121600374,47.7456432287268
"32",19,"HowManyBias","None",54.8524422211381,0.619931449133239,66.5806372614895,73.0729223906321,22.587410562461,49.9137280549252,53.7169876805848,34.9982581995813,73.0140604315165
"33",19,"NoneBias","None",70.3785641524204,0.506249242761488,53.3079519335977,81.3084693367811,25.0865610870419,48.6785106030903,90.5089135384127,13.2866189141493,47.2925279064903
"34",2,"AllBias","All",50.2573229010554,2.9750035557727,63.2636983161281,34.0262539735253,22.054455274149,83.5447601186898,60.403075682413,47.1347096466817,51.2555406643057
"35",2,"HowManyBias","All",52.0146086491751,0.0463898154493915,68.893155864125,27.7886075604499,21.8729225488212,100,45.1856032844167,22.7177177177177,75.5832119067233
"36",2,"NoneBias","All",27.4342359767892,10.5542889077189,75.6188671729086,56.4322923078954,7.31752773911401,89.2532301204931,73.8430024612437,15,66.5867246008896
"37",20,"AllBias","None",35.5950522225152,0.231926181778366,99.7202797202797,81.25,13.7674416932801,57.1308102121303,58.5586079444257,46.2777860511824,44.6875418814797
"38",20,"HowManyBias","None",68.2499749345403,1.39932039081733,60.6623609002339,73.6617909403,10.5081036302821,66.254899649242,100,0.252508902557462,43.1607343136361
"39",20,"NoneBias","None",51.3189813202955,9.38821070822669,68.8895041667854,78.0912862701538,6.1198573787889,60.4363549774823,83.8976927075279,15.7764572200759,63.7487211507948
"40",21,"AllBias","None",63.110656628883,1.82540695515279,57.2719281326649,92.8571428571429,19.0237895044221,29.6239446301519,69.7340531893621,12.6780853584977,62.0580475297453
"41",21,"HowManyBias","None",59.0018355391778,3.66159996788862,58.0936754187921,95.2380952380952,16.8478645114901,17.4932376112585,92.0422811162084,6.8001274996723,45.5769365254025
"42",21,"NoneBias","None",60.5205985688258,0.55609871655756,54.5454545454545,95.5003599712023,10.4895365793641,16.2642932538471,91.750069522016,12.9998361135949,29.0922864927943
"43",22,"AllBias","None",40.0020476968303,9.57676062993522,85.2835313916862,53.7534801349775,20.9010941277304,76.4829893293529,48.0406469829414,51.6505972631625,49.915039226967
"44",22,"HowManyBias","None",55.8569180303128,0,69.5145904490293,53.4356116950538,6.86860067113362,82.8046543373621,69.4711197859537,3.88998210351459,92.038200307389
"45",22,"NoneBias","None",66.5073239648937,0.716218148999763,51.3108490937193,54.2299239269894,13.4228314713696,83.8390196363334,95.8470367406424,9.81307365122006,64.8191421784932
"49",24,"AllBias","None",18.8952928620423,6.56616910400217,96.5201553938309,18.9730634594337,66.9444418818374,60.6370299152003,72.648119567367,68.2077499827002,19.1080957734965
"50",24,"HowManyBias","None",19.4031978889674,9.98982284963557,87.3052631578947,17.799448213635,57.8440656254361,84.8356144732629,62.738884909257,13.4702264743034,75.3935632402916
"51",24,"NoneBias","None",12.2983952289641,1.41281562049326,100,69.2047464232648,17.0877499345252,56.5835610299371,90.2549118340507,36.7248913340326,33.5391256355208
"52",3,"AllBias","All",20.1543699612858,1.85354960525337,91.0006706464654,7.14285714285714,80.1958335751681,61.4285957955625,30.0298815355458,73.35,47.7033148628942
"53",3,"HowManyBias","All",14.9836452685129,10.4324016297969,86.9950265313292,16.5411972598449,88.9188741124915,58.4263438149184,35.5055047038052,46.7776272995114,73.2480818287576
"54",3,"NoneBias","All",33.5607169220237,3.62255880350387,81.0663492204828,14.4345988027211,74.4553721396068,63.7971760822149,57.0788163464009,39.8152145917654,62.0474745235997
"55",4,"AllBias","All",25.9443258873493,9.58396944930881,77.8947368421053,28.3172498497661,50.2977121555588,81.4210294146554,28.7590863252661,72.2704338914252,51.9700549172681
"56",4,"HowManyBias","All",37.690906076351,2.46067250261406,90.706664840266,15.4450448623755,57.3165828848864,77.1111740694109,26.4733874763537,42.1899158579823,82.0239920663346
"57",4,"NoneBias","All",36.8196078222025,0.922345626831672,87.3992076125093,24.5994738222367,41.926693653828,76.4827155516748,77.040637221072,21.5358362026648,43.4639898576033
"58",5,"AllBias","All",28.2992545732621,0.744702014373715,98.97542997543,2.42309647896276,86.2575506972491,63.174813980211,66.527018438651,43.9348449673459,49.8670978111089
"59",5,"HowManyBias","All",32.9760156153804,0.516331619008172,78.5041893521651,10.8082914659886,87.7418821416479,56.7190739057936,28.4887191612831,18.8634522192383,100
"60",5,"NoneBias","All",32.1714457654888,9.71016933221456,70.0204744105301,7.85044985049434,57.8651959960534,82.1937352089365,93.338458417074,1.53352111271126,49.6372404581941
"61",6,"AllBias","All",35.0132497322182,2.45341765547453,77.4549232950779,19.2943450518412,49.2886029462293,64.4438981315322,24.1183585991473,86.5423443634324,17.1544761777012
"62",6,"HowManyBias","All",14.3794784409955,9.80951205590608,88.0873643463705,11.3941235462016,48.5957273164455,93.3136225646269,60.6385293644125,13.9704910651333,75.8978791928875
"63",6,"NoneBias","All",56.7966457903929,1.10821679737756,71.0626373626374,28.4863283979968,28.5460009001639,79.8389978325227,74.5685239152077,30.7624989731526,47.3353904061891
"64",7,"AllBias","All",21.4257997405645,9.35158595141228,78.2388808572691,1.07422969187675,79.3136321867776,82.6380736827187,26.2702708616017,83.5638124815144,31.1001285022747
"65",7,"HowManyBias","All",43.5093656221665,10.2128076411264,63.7676885596394,12.5081510023392,89.729484682074,39.3814140310812,22.8378556215231,70.521568627451,55.735114349005
"66",7,"NoneBias","All",28.9062907177076,4.77829055258218,93.1517217591933,2.97411081538834,92.5959812077324,63.3077127220425,69.9310056449927,46.4257358002955,52.417583948936
"67",8,"AllBias","All",36.8513137081263,3.62115799511095,75.3023454265307,3.11018041237113,75.9132558604635,80.9530297378053,11.8844134090494,90.0208646183932,52.5169563881351
"68",8,"HowManyBias","All",32.5827922949587,0.469571033652608,80.7692469217287,9.01390007101935,73.1129173491486,74.7765251759285,12.7760510410175,32.4799147057821,100
"69",8,"NoneBias","All",22.1715484592438,18.1818181818182,75.28277825843,11.3712915296882,61.407341973095,85.2262509216294,68.8865182648279,22.413643738756,55.7019581276507
"70",9,"AllBias","Some",44.3608927013849,0.194626304860682,77.2738165994702,7.50915750915751,40.5320603775638,90.7816326530612,10.1071466838101,85.344241909481,61.2411464230365
"71",9,"HowManyBias","Some",21.2991504822496,11.4168964204163,85.0746336996337,13.5555339175226,55.3057369153789,78.1357643058362,21.6056048634665,35.0955241530879,91.5264059794542
"72",9,"NoneBias","Some",56.6273182267045,0.888266859561303,68.7843079121165,10.0890284930972,42.8295104352322,94.855279769625,59.045478719426,27.6349227902475,61.044091351139
